,path,emotion
0,data/train-custom\hamed1_neutral.wav,neutral
1,data/train-custom\hamed2_neutral.wav,neutral
2,data/train-custom\hamed3_neutral.wav,neutral
3,data/train-custom\hamed4_neutral.wav,neutral
4,data/train-custom\hamed5_neutral.wav,neutral
5,data/train-custom\hamed6_neutral.wav,neutral
6,data/train-custom\hamed7_neutral.wav,neutral
7,data/train-custom\hamed8_neutral.wav,neutral
8,data/train-custom\hamed9_neutral.wav,neutral
9,data/train-custom\hamedA_neutral.wav,neutral
10,data/train-custom\hamedB_neutral.wav,neutral
11,data/train-custom\hamedC_neutral.wav,neutral
12,data/train-custom\nadjib1_neutral.wav,neutral
13,data/train-custom\nadjib2_neutral.wav,neutral
14,data/train-custom\nadjib3_neutral.wav,neutral
15,data/train-custom\nadjib4_neutral.wav,neutral
16,data/train-custom\nadjib5_neutral.wav,neutral
17,data/train-custom\nadjib6_neutral.wav,neutral
18,data/train-custom\nadjib7_neutral.wav,neutral
19,data/train-custom\nadjib8_neutral.wav,neutral
20,data/train-custom\nadjib9_neutral.wav,neutral
21,data/train-custom\nadjibA_neutral.wav,neutral
22,data/train-custom\nadjibB_neutral.wav,neutral
23,data/train-custom\nadjibC_neutral.wav,neutral
24,data/train-custom\oumaima1_neutral.wav,neutral
25,data/train-custom\oumaima2_neutral.wav,neutral
26,data/train-custom\oumaima3_neutral.wav,neutral
27,data/train-custom\oumaima4_neutral.wav,neutral
28,data/train-custom\oumaima5_neutral.wav,neutral
29,data/train-custom\oumaima6_neutral.wav,neutral
30,data/train-custom\oumaima7_neutral.wav,neutral
31,data/train-custom\oumaima8_neutral.wav,neutral
32,data/train-custom\oumaima9_neutral.wav,neutral
33,data/train-custom\oumaimaA_neutral.wav,neutral
34,data/train-custom\oumaimaB_neutral.wav,neutral
35,data/train-custom\oumaimaC_neutral.wav,neutral
36,data/train-custom\rockikz1_neutral.wav,neutral
37,data/train-custom\rockikz2_neutral.wav,neutral
38,data/train-custom\rockikz3_neutral.wav,neutral
39,data/train-custom\rockikz4_neutral.wav,neutral
40,data/train-custom\rockikz5_neutral.wav,neutral
41,data/train-custom\rockikz6_neutral.wav,neutral
42,data/train-custom\rockikz7_neutral.wav,neutral
43,data/train-custom\rockikz8_neutral.wav,neutral
44,data/train-custom\rockikz9_neutral.wav,neutral
45,data/train-custom\rockikzA_neutral.wav,neutral
46,data/train-custom\rockikzB_neutral.wav,neutral
47,data/train-custom\rockikzC_neutral.wav,neutral
48,data/train-custom\soumaya1_neutral.wav,neutral
49,data/train-custom\soumaya2_neutral.wav,neutral
50,data/train-custom\hamed1_happy.wav,happy
51,data/train-custom\hamed2_happy.wav,happy
52,data/train-custom\hamed3_happy.wav,happy
53,data/train-custom\hamed4_happy.wav,happy
54,data/train-custom\hamed5_happy.wav,happy
55,data/train-custom\hamed6_happy.wav,happy
56,data/train-custom\hamed7_happy.wav,happy
57,data/train-custom\hamed8_happy.wav,happy
58,data/train-custom\hamed9_happy.wav,happy
59,data/train-custom\hamedA_happy.wav,happy
60,data/train-custom\hamedB_happy.wav,happy
61,data/train-custom\hamedC_happy.wav,happy
62,data/train-custom\nadjib1_happy.wav,happy
63,data/train-custom\nadjib2_happy.wav,happy
64,data/train-custom\nadjib3_happy.wav,happy
65,data/train-custom\nadjib4_happy.wav,happy
66,data/train-custom\nadjib5_happy.wav,happy
67,data/train-custom\nadjib6_happy.wav,happy
68,data/train-custom\nadjib7_happy.wav,happy
69,data/train-custom\nadjib8_happy.wav,happy
70,data/train-custom\nadjib9_happy.wav,happy
71,data/train-custom\nadjibA_happy.wav,happy
72,data/train-custom\nadjibB_happy.wav,happy
73,data/train-custom\nadjibC_happy.wav,happy
74,data/train-custom\oumaima1_happy.wav,happy
75,data/train-custom\oumaima2_happy.wav,happy
76,data/train-custom\oumaima3_happy.wav,happy
77,data/train-custom\oumaima4_happy.wav,happy
78,data/train-custom\oumaima5_happy.wav,happy
79,data/train-custom\oumaima6_happy.wav,happy
80,data/train-custom\oumaima7_happy.wav,happy
81,data/train-custom\oumaima8_happy.wav,happy
82,data/train-custom\oumaima9_happy.wav,happy
83,data/train-custom\oumaimaA_happy.wav,happy
84,data/train-custom\oumaimaB_happy.wav,happy
85,data/train-custom\oumaimaC_happy.wav,happy
86,data/train-custom\rockikz1_happy.wav,happy
87,data/train-custom\rockikz2_happy.wav,happy
88,data/train-custom\rockikz3_happy.wav,happy
89,data/train-custom\rockikz4_happy.wav,happy
90,data/train-custom\rockikz5_happy.wav,happy
91,data/train-custom\rockikz6_happy.wav,happy
92,data/train-custom\rockikz7_happy.wav,happy
93,data/train-custom\rockikz8_happy.wav,happy
94,data/train-custom\rockikz9_happy.wav,happy
95,data/train-custom\rockikzA_happy.wav,happy
96,data/train-custom\rockikzB_happy.wav,happy
97,data/train-custom\rockikzC_happy.wav,happy
98,data/train-custom\soumaya1_happy.wav,happy
